Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.01      	5000      	160       	0         	0         	-868414   	
0.11      	5000      	160       	0         	0         	-728029   	
0.252976  	5000      	160       	0         	0         	-621865   	
0.494008  	5000      	160       	0         	0         	-521944   	
0.937882  	5000      	160       	0         	0         	-420087   	
1.81271   	5000      	160       	0         	0         	-316329   	
3.48083   	5000      	160       	0         	0         	-221977   	
6.37154   	5000      	160       	0         	0         	-154216   	
10.8172   	5000      	160       	0         	0         	-118149   	
17.1062   	5000      	160       	0         	0         	-117766   	
26.3511   	5000      	160       	0         	0         	-119987   	
36.3511   	5000      	160       	0         	0         	-133175   	
46.3511   	5000      	160       	0         	0         	-144942   	
56.3511   	5000      	160       	0         	0         	-152297   	
66.3511   	5000      	160       	0         	0         	-155518   	
76.3511   	5000      	160       	0         	0         	-156003   	
86.3511   	5000      	160       	0         	0         	-156039   	
96.3511   	5000      	160       	0         	0         	-155214   	
106.351   	5000      	160       	0         	0         	-155947   	
116.351   	5000      	160       	0         	0         	-156486   	
126.351   	5000      	160       	0         	0         	-156685   	
136.351   	5000      	160       	0         	0         	-156629   	
146.351   	5000      	160       	0         	0         	-156362   	
156.351   	5000      	160       	0         	0         	-155861   	
166.351   	5000      	160       	0         	0         	-155231   	
176.351   	5000      	160       	0         	0         	-154785   	
186.351   	5000      	160       	0         	0         	-154025   	
196.351   	5000      	160       	0         	0         	-152989   	
206.351   	5000      	160       	0         	0         	-152150   	
216.351   	5000      	160       	0         	0         	-151208   	
226.351   	5000      	160       	0         	0         	-150163   	
236.351   	5000      	160       	0         	0         	-149419   	
246.351   	5000      	160       	0         	0         	-149088   	
256.351   	5000      	160       	0         	0         	-148829   	
266.351   	5000      	160       	0         	0         	-148575   	
276.351   	5000      	160       	0         	0         	-148324   	
286.351   	5000      	160       	0         	0         	-148065   	
296.351   	5000      	160       	0         	0         	-147781   	
306.351   	5000      	160       	0         	0         	-147471   	
316.351   	5000      	160       	0         	0         	-147171   	
326.351   	5000      	160       	0         	0         	-146870   	
336.351   	5000      	160       	0         	0         	-146653   	
346.351   	5000      	160       	0         	0         	-146429   	
356.351   	5000      	160       	0         	0         	-146212   	
366.351   	5000      	160       	0         	0         	-145970   	
376.351   	5000      	160       	0         	0         	-145676   	
386.351   	5000      	160       	0         	0         	-145341   	
396.351   	5000      	160       	0         	0         	-145105   	
406.351   	5000      	160       	0         	0         	-144875   	
