Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 0	300	99.67	4.88986	3.37012	1.51974	0	0.689206	0.310794	0		0.955557	0.0369738	0.00217069	0.00529873	0	0.0814897	0.166264	0.214925	0.537321	0	
Seg 1	301.826	100.67	4.88986	3.36396	1.5259	0	0.687946	0.312054	0		0.955082	0.0373	0.00221374	0.00540379	0	0.0817661	0.166159	0.214876	0.537199	0	
Seg 2	303.658	101.67	4.88986	3.35779	1.53207	0	0.686685	0.313315	0		0.954605	0.0376272	0.00225745	0.00551046	0	0.0820438	0.166053	0.214827	0.537076	0	
Seg 3	305.496	102.67	4.88986	3.35161	1.53825	0	0.685421	0.314579	0		0.954124	0.0379553	0.00230183	0.00561874	0	0.0823226	0.165948	0.214777	0.536953	0	
Seg 4	307.34	103.67	4.88986	3.34542	1.54444	0	0.684155	0.315845	0		0.95364	0.0382842	0.00234686	0.00572865	0	0.0826028	0.165842	0.214727	0.536828	0	
Seg 5	309.19	104.67	4.88986	3.33921	1.55064	0	0.682886	0.317114	0		0.953153	0.0386139	0.00239258	0.0058402	0	0.0828843	0.165736	0.214676	0.536703	0	
Seg 6	311.046	105.67	4.88986	3.333	1.55686	0	0.681614	0.318386	0		0.952663	0.0389445	0.00243896	0.00595341	0	0.0831674	0.16563	0.214626	0.536577	0	
Seg 7	312.908	106.67	4.88986	3.32676	1.5631	0	0.680339	0.319661	0		0.95217	0.0392757	0.00248604	0.00606829	0	0.0834519	0.165524	0.214575	0.53645	0	
Seg 8	314.776	107.67	4.88986	3.32051	1.56935	0	0.67906	0.32094	0		0.951674	0.0396076	0.0025338	0.00618485	0	0.0837381	0.165418	0.214523	0.536321	0	
Seg 9	316.65	108.67	4.88986	3.31424	1.57562	0	0.677778	0.322222	0		0.951174	0.0399402	0.00258225	0.0063031	0	0.0840259	0.165311	0.214471	0.536192	0	
Seg 10	318.53	109.67	4.88986	3.30795	1.58191	0	0.676492	0.323508	0		0.950672	0.0402735	0.0026314	0.00642306	0	0.0843155	0.165204	0.214419	0.536062	0	
Seg 11	320.416	110.67	4.88986	3.30164	1.58822	0	0.675201	0.324799	0		0.950167	0.0406073	0.00268126	0.00654474	0	0.0846069	0.165097	0.214366	0.53593	0	
